epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1202,1.61621,2.18296,1.92135,0.27161,0.29629,0.24434,0.11292,2.09227,2.58509,2.34254,0.000236424,0.000236424,0.000236424
2,98.7067,1.65321,2.21978,1.94603,0.2844,0.28584,0.22412,0.09427,2.17651,2.57898,2.43563,0.000471488,0.000471488,0.000471488
3,145.397,1.66862,2.27065,1.95788,0.5449,0.21609,0.19064,0.08238,2.11688,2.62197,2.41356,0.000703608,0.000703608,0.000703608
4,193.451,1.69181,2.33685,1.97025,0.252,0.20355,0.17385,0.07556,2.16996,2.74466,2.46307,0.000700746,0.000700746,0.000700746
5,239.024,1.69099,2.29605,1.96236,0.33901,0.23224,0.1944,0.0824,2.21254,2.58958,2.43949,0.000696328,0.000696328,0.000696328
6,285.32,1.66807,2.31223,1.95385,0.34291,0.22094,0.20259,0.07814,2.18278,2.65105,2.4604,0.000691911,0.000691911,0.000691911
7,330.384,1.67906,2.31132,1.95337,0.25634,0.23724,0.19727,0.08234,2.13499,2.65382,2.40121,0.000687493,0.000687493,0.000687493
8,376.479,1.66976,2.27366,1.94204,0.3524,0.22347,0.18806,0.08253,2.14454,2.64255,2.39409,0.000683075,0.000683075,0.000683075
9,422.842,1.67233,2.27104,1.94186,0.17312,0.26661,0.18977,0.08892,2.09313,2.77975,2.38393,0.000678657,0.000678657,0.000678657
10,468.759,1.65484,2.2453,1.9335,0.33125,0.2356,0.19517,0.07935,2.14974,2.62356,2.41174,0.000674239,0.000674239,0.000674239
11,514.129,1.65601,2.24564,1.9356,0.25056,0.29936,0.24229,0.09637,2.14159,2.47931,2.39246,0.000669821,0.000669821,0.000669821
12,559.712,1.66187,2.2544,1.93597,0.51002,0.24537,0.2439,0.10677,2.09051,2.57148,2.35607,0.000665403,0.000665403,0.000665403
13,605.677,1.6404,2.2196,1.91089,0.3793,0.2606,0.2355,0.09796,2.1036,2.56519,2.34937,0.000660986,0.000660986,0.000660986
14,651.008,1.67315,2.21246,1.93717,0.27523,0.25487,0.19422,0.08705,2.17001,2.58566,2.38138,0.000656568,0.000656568,0.000656568
15,698.776,1.63288,2.17172,1.90702,0.39535,0.2524,0.22783,0.10634,2.05881,2.49838,2.28589,0.00065215,0.00065215,0.00065215
16,743.827,1.63442,2.19656,1.90182,0.34252,0.28937,0.24531,0.11035,2.13015,2.47808,2.3595,0.000647732,0.000647732,0.000647732
17,789.456,1.64048,2.17304,1.91131,0.23032,0.24114,0.21905,0.09854,2.12992,2.59831,2.33775,0.000643314,0.000643314,0.000643314
18,834.242,1.60899,2.14712,1.88712,0.43741,0.25157,0.25695,0.112,2.09579,2.47356,2.31483,0.000638896,0.000638896,0.000638896
19,880.784,1.63813,2.14873,1.90717,0.43006,0.27513,0.2462,0.10662,2.13201,2.51827,2.3885,0.000634478,0.000634478,0.000634478
20,926.042,1.61401,2.12359,1.88835,0.32402,0.26635,0.2504,0.11074,2.16683,2.51754,2.41118,0.00063006,0.00063006,0.00063006
21,973.313,1.61872,2.08244,1.87715,0.38898,0.23118,0.21612,0.09757,2.0891,2.6425,2.34238,0.000625642,0.000625642,0.000625642
22,1018.28,1.6252,2.13338,1.89912,0.38697,0.25383,0.23328,0.1058,2.09088,2.4933,2.33794,0.000621225,0.000621225,0.000621225
23,1063.73,1.61028,2.07645,1.88619,0.3794,0.29793,0.2484,0.11457,2.09574,2.48088,2.31539,0.000616807,0.000616807,0.000616807
24,1108.71,1.61033,2.06654,1.87941,0.34118,0.29225,0.24506,0.10826,2.1179,2.53242,2.36635,0.000612389,0.000612389,0.000612389
25,1154.57,1.60123,2.08069,1.87312,0.34575,0.29275,0.24292,0.10704,2.15674,2.50343,2.36472,0.000607971,0.000607971,0.000607971
26,1200.03,1.60719,2.06834,1.8794,0.4037,0.25764,0.23952,0.10094,2.10625,2.51065,2.35755,0.000603553,0.000603553,0.000603553
27,1245.83,1.61057,2.08332,1.87722,0.34281,0.25244,0.21984,0.09791,2.07612,2.53011,2.3173,0.000599135,0.000599135,0.000599135
28,1290.37,1.5884,2.02677,1.85388,0.34084,0.27792,0.24991,0.11492,2.09968,2.40634,2.33595,0.000594717,0.000594717,0.000594717
