epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.972,3.25713,4.81922,4.09626,0.00077,0.18113,0.00106,0.00028,3.31533,4.28985,3.80661,0.000236424,0.000236424,0.000236424
2,100.825,3.0995,4.50812,3.53604,0.30443,0.03032,0.00409,0.00115,3.03596,4.09107,3.733,0.000468161,0.000468161,0.000468161
3,148.162,2.64071,4.19993,3.02642,0.40864,0.04586,0.00736,0.00227,2.80482,3.96269,3.34495,0.000693616,0.000693616,0.000693616
4,194.272,2.37898,3.9811,2.76845,0.71766,0.0362,0.01258,0.00367,2.71145,4.15659,3.17863,0.000685726,0.000685726,0.000685726
5,242.567,2.27956,3.78496,2.64544,0.75932,0.0233,0.02127,0.0061,2.63927,4.03151,3.09184,0.000676301,0.000676301,0.000676301
6,289.932,2.18344,3.66402,2.55182,0.54485,0.04387,0.04352,0.0124,2.52365,3.72729,2.9411,0.000666876,0.000666876,0.000666876
7,335.945,2.15087,3.58689,2.48494,0.53015,0.06881,0.0377,0.01244,2.50539,3.73529,2.91247,0.000657451,0.000657451,0.000657451
8,382.876,2.08711,3.45239,2.42718,0.44387,0.09593,0.05278,0.01776,2.44777,3.60775,2.83532,0.000648026,0.000648026,0.000648026
9,428.675,2.05878,3.40528,2.39729,0.25666,0.10432,0.04312,0.01451,2.45379,3.42508,2.79661,0.000638602,0.000638602,0.000638602
10,476.65,2.02239,3.3392,2.35481,0.37629,0.11683,0.07132,0.02879,2.38286,3.35686,2.73691,0.000629177,0.000629177,0.000629177
11,526.154,1.98998,3.2653,2.30918,0.59004,0.10579,0.08325,0.02977,2.32224,3.15701,2.61586,0.000619752,0.000619752,0.000619752
12,573.446,1.97311,3.21274,2.29953,0.50636,0.11353,0.09331,0.03688,2.32423,3.2918,2.67379,0.000610327,0.000610327,0.000610327
13,621.127,1.92569,3.12766,2.25509,0.53772,0.13617,0.09098,0.03391,2.32223,3.23312,2.65326,0.000600902,0.000600902,0.000600902
14,667.536,1.93974,3.11454,2.25164,0.49968,0.11574,0.09216,0.03387,2.33905,3.1379,2.64477,0.000591478,0.000591478,0.000591478
15,714.964,1.91148,3.03792,2.23202,0.44051,0.15526,0.11812,0.04242,2.28556,3.04983,2.58335,0.000582053,0.000582053,0.000582053
16,762.471,1.89201,3.01721,2.2152,0.45238,0.15907,0.12188,0.04541,2.24366,3.02074,2.54694,0.000572628,0.000572628,0.000572628
17,809.21,1.89078,2.97492,2.2071,0.56123,0.13235,0.10936,0.03705,2.3098,3.08883,2.6139,0.000563203,0.000563203,0.000563203
18,855.763,1.85542,2.92951,2.17226,0.5132,0.17141,0.13346,0.05115,2.24367,3.00011,2.50955,0.000553778,0.000553778,0.000553778
19,902.891,1.8747,2.92396,2.18439,0.23615,0.17694,0.12628,0.04501,2.26812,2.9861,2.5759,0.000544354,0.000544354,0.000544354
20,950.129,1.83347,2.85904,2.13825,0.48553,0.16981,0.12493,0.0447,2.23066,3.02707,2.53785,0.000534929,0.000534929,0.000534929
21,996.597,1.83121,2.82499,2.14315,0.45834,0.18177,0.139,0.05083,2.19005,2.90833,2.46895,0.000525504,0.000525504,0.000525504
22,1042.57,1.83545,2.8297,2.13971,0.35005,0.16433,0.12935,0.04904,2.26158,2.93332,2.5553,0.000516079,0.000516079,0.000516079
23,1090.36,1.81049,2.77724,2.13336,0.43474,0.20427,0.13821,0.04907,2.24671,2.85602,2.55408,0.000506654,0.000506654,0.000506654
24,1135.83,1.81332,2.76936,2.12391,0.39206,0.18121,0.14969,0.05556,2.23004,2.91449,2.54814,0.00049723,0.00049723,0.00049723
25,1182.34,1.79118,2.74294,2.1,0.48601,0.18403,0.13586,0.05002,2.26603,2.88054,2.5568,0.000487805,0.000487805,0.000487805
