epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5642,2.29773,2.80672,1.48923,0.78733,0.07703,0.3185,0.10746,2.10912,2.7917,1.50696,0.000549818,0.000549818,0.000549818
2,67.4818,2.11139,1.98278,1.40988,0.46947,0.49087,0.42579,0.14298,2.2884,2.05907,1.65876,0.00109454,0.00109454,0.00109454
3,98.7343,2.08146,1.93375,1.41863,0.3264,0.39711,0.28447,0.09189,2.28194,2.26882,1.65326,0.00162826,0.00162826,0.00162826
4,128.72,2.05976,1.78903,1.39102,0.48869,0.51993,0.47882,0.1556,2.26238,1.82386,1.64535,0.00161749,0.00161749,0.00161749
5,158.368,2.05282,1.74764,1.38396,0.50652,0.54441,0.50707,0.17543,2.15084,1.76345,1.63862,0.00160099,0.00160099,0.00160099
6,188.795,2.01495,1.68947,1.37266,0.5203,0.59661,0.54922,0.19888,2.05129,1.75861,1.51895,0.00158448,0.00158448,0.00158448
7,219.575,1.98407,1.64256,1.34691,0.40369,0.44314,0.39151,0.12562,2.30327,1.94703,1.69033,0.00156798,0.00156798,0.00156798
8,249.438,1.96269,1.61793,1.3563,0.51217,0.56919,0.5355,0.18495,2.05573,1.66962,1.44646,0.00155148,0.00155148,0.00155148
9,279.799,1.98391,1.61152,1.35089,0.54672,0.62209,0.55251,0.18504,2.09057,1.73797,1.47911,0.00153497,0.00153497,0.00153497
10,309.64,1.96932,1.61142,1.34889,0.53932,0.58669,0.56206,0.2123,2.07793,1.6374,1.55639,0.00151847,0.00151847,0.00151847
11,339.845,1.95172,1.60533,1.33888,0.59231,0.58831,0.60195,0.22466,2.03269,1.57743,1.5148,0.00150197,0.00150197,0.00150197
12,370.324,1.95244,1.55617,1.33109,0.59656,0.63076,0.60695,0.23699,1.98392,1.62102,1.49322,0.00148546,0.00148546,0.00148546
13,400.132,1.91663,1.5346,1.3181,0.54017,0.5639,0.52691,0.1913,2.02037,1.65337,1.5384,0.00146896,0.00146896,0.00146896
14,429.979,1.92338,1.53572,1.32928,0.62934,0.62958,0.6315,0.24303,1.95736,1.53792,1.45749,0.00145246,0.00145246,0.00145246
15,460.054,1.92137,1.52817,1.32043,0.50301,0.52226,0.4845,0.17588,2.18241,1.76242,1.55156,0.00143595,0.00143595,0.00143595
16,490.06,1.92335,1.51507,1.31047,0.66893,0.60572,0.63764,0.25299,2.02143,1.48524,1.50571,0.00141945,0.00141945,0.00141945
17,519.54,1.91543,1.49854,1.32316,0.60042,0.66761,0.64577,0.25423,2.00178,1.59458,1.48908,0.00140295,0.00140295,0.00140295
18,549.259,1.8875,1.47065,1.3037,0.62456,0.63558,0.65676,0.25469,2.00363,1.51545,1.49106,0.00138644,0.00138644,0.00138644
19,579.423,1.86973,1.48889,1.29823,0.62273,0.631,0.63422,0.24921,1.99126,1.51622,1.4693,0.00136994,0.00136994,0.00136994
20,608.676,1.87055,1.47029,1.29968,0.64454,0.69624,0.67965,0.27865,1.95477,1.46027,1.46459,0.00135344,0.00135344,0.00135344
21,638.253,1.86527,1.46306,1.29767,0.63843,0.62021,0.64272,0.24538,2.02728,1.48859,1.49533,0.00133693,0.00133693,0.00133693
22,668.805,1.8804,1.43275,1.29675,0.67266,0.64384,0.68281,0.28348,1.94692,1.43243,1.42524,0.00132043,0.00132043,0.00132043
23,698.397,1.86634,1.42139,1.29524,0.63138,0.65462,0.66788,0.26088,1.94455,1.47267,1.46742,0.00130393,0.00130393,0.00130393
24,727.944,1.85637,1.42262,1.28289,0.64867,0.65467,0.67727,0.26963,1.96702,1.46576,1.43933,0.00128742,0.00128742,0.00128742
25,758.455,1.85004,1.42818,1.28311,0.67823,0.69383,0.69456,0.27439,1.9558,1.41649,1.43039,0.00127092,0.00127092,0.00127092
26,787.522,1.85365,1.41904,1.28724,0.61429,0.67425,0.65184,0.25132,1.95072,1.51125,1.44385,0.00125442,0.00125442,0.00125442
27,816.558,1.86283,1.4408,1.29416,0.67343,0.66009,0.69681,0.2908,1.93035,1.39758,1.42809,0.00123791,0.00123791,0.00123791
